Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.14587670456801627,-1.324963409255179,0.14944761741920112,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.14585961431211805,-1.3249911020302654,0.149451598779999,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.1464507559402668,-1.3249467050798087,0.14944870459035303,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.23004784187153446,-0.9140454011097695,0.10423098586850199,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.30844654439182345,1.0304539624435847,-0.5277450981898885,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.3319056748337149,1.0309840681286062,-0.5276781589921338,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.16593578108485596,-1.103637716109035,-0.02315064945035695,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.2861075623184031,0.4592498167444141,-0.6676436843720188,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.19877222736797392,-1.192930444294529,0.11565486578546025,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.16303708932421135,-1.1037454463734129,-0.023152688257968883,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.3967858012854406,1.220610304157891,-0.40029677685013426,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.2448870713624959,0.135617708495247,0.11169004070298158,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.14565667920554504,-1.3249601918016027,0.1494457809377134,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.2775089241874514,1.74145466375863,-0.5446670888779085,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.3243261903658747,1.0305054816385126,-0.5276544308562862,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.860781202136712,-2.3534354015361267,0.37087368196731785,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.4577432257595084,-2.30844479381225,0.38529325429427647,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,-0.039325193378165174,0.9695473826813371,-0.20580172108994177,0,BurstCoin
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.34582377876129644,1.6026065414478186,-0.22944274729252362,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.16480266502416466,-1.1036704737752174,-0.023152827081077677,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3123415979117633,0.8096838764190719,-0.35508059253309504,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.36402368751705105,0.942407175285825,-0.40656751541279795,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.14939110127655728,-1.1044548451272713,-0.02313243744967973,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.28782504422616484,0.832796074957316,-0.26366626611685146,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.16352073467989378,-1.1036841248108418,-0.023158745557757637,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.27780356586159516,1.7414385043913678,-0.5446628805622528,0,Kore
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.16636104138565208,-1.1036331521042366,-0.023148691326032898,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.28247564735792713,0.8325583289316923,-0.26366428229957395,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.1633857177788594,-1.1036760635807012,-0.023160770849344862,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.3332111447447563,1.0310257956350586,-0.5276762385937062,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.2777557321933792,1.7414411661551719,-0.5446635694248146,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.14960099382500106,-1.1039569195937464,-0.02320462640781404,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.14219116288805955,-2.1949953548808696,0.3363070119730174,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.3516632407525253,1.0223633429922385,-0.1362826289694363,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.1235380760198495,-1.8008124161460841,0.35220845968806863,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.190575735837339,-1.518326136401703,0.15542584864287107,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.16623405424349,-1.1036305640871091,-0.0231498591445596,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.3329453645450863,1.0310175659353036,-0.5276766687649055,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.039090964594480686,-1.1078849344891146,-0.023308787890346593,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.11345009265815262,-2.276337784344637,0.40667774736905665,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.1663699418991485,-1.1036318859986507,-0.023148823107434144,3,MasterCoin
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.1461536843414242,-1.3249547164381927,0.14944804854821125,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.4862740278110804,-1.1555720067353703,-0.01952195774448947,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.39689127434653687,1.220611767093629,-0.4002963400435465,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.4116733084939023,1.9946208495273303,-0.0938235886212173,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.22943466347687833,-0.9140546645435081,0.10422855839555953,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.16389473196684676,-2.202175478902134,0.37371212691255223,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.14589335902697367,-1.3249725216866888,0.14944906537137184,3,Anarchists Prime
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.4129278700404917,1.7966661006667537,-0.3141361862199944,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.22971972591442102,-0.914052830295984,0.10423005178713646,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.33869083880846285,0.43739944004222836,0.37584444336750983,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.16449241833579875,-1.103740582469996,-0.023144399830217422,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16368418619371009,-1.103750027440509,-0.02314800759770899,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.2862256443153345,0.8327616107811675,-0.26367107747770585,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.15986055752270145,-2.006515715856787,0.3182900608554434,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.27727707096694365,1.7414233995595063,-0.5446639094748938,0,Paycon
SC,Blake2b,PoW,33098296530.0,0.0,0.37942844499580536,-2.166139396829458,0.3159140315093655,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.30568178673813456,0.809158887932047,-0.35504432463096885,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.25023028573441747,1.875624926632681,-0.6407481018772417,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.22975514913857223,-0.9140500062879565,0.10422985421330037,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.1460493664801586,-1.3249521386302672,0.14944702252494857,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.07125085343928703,0.8796042441617223,-0.3338449507895223,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.16232541337575906,-1.1036868558491475,-0.02316573971715387,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.14923282510104188,-2.222962780424226,0.27650234433246096,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.3131012398180705,0.8096991389015818,-0.3550781440609988,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.07415886011759837,1.208943264219649,-0.40057143281440244,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.16493242944958547,-1.1036580543221974,-0.023153856999126837,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.31316498501223644,0.8097060722036975,-0.35507877284758255,0,DubaiCoin
